action.log	{"eventName": "action.log", "event": "system:login"}
action.clearCommandsState	{"eventName": "action.clearCommandsState"}
vivox.updatedRenderDevices	{"eventName": "vivox.updatedRenderDevices"}
vivox.updatedCaptureDevices	{"eventName": "vivox.updatedCaptureDevices"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "premShownCommon", "value": false}
action.setUserPref	{"eventName": "action.setUserPref", "name": "premShownWOWS", "value": false}
ModalWindowBuySlots.slotsBought	{"eventName": "ModalWindowBuySlots.slotsBought"}
dockState.dock	{"eventName": "dockState.dock"}
action.clearCommandsState	{"eventName": "action.clearCommandsState"}
window.hide	{"eventName": "window.hide", "windowName": "Waiting"}
window.hide	{"eventName": "window.hide", "statisticsEvent": "wnd:login", "windowName": "Login"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "operationsSelectedId", "value": "4293438384"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "operationsDifficulty", "value": "normal"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "operationsEnterMM", "value": true}
action.setUserPref	{"eventName": "action.setUserPref", "name": "operationsSelectedId", "value": "0"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "operationsDifficulty", "value": "normal"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "operationsEnterMM", "value": false}
sfm.activateDock3D	{"eventName": "sfm.activateDock3D"}
action.resetInset	{"eventName": "action.resetInset"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "premShownCommon", "value": false}
action.setUserPref	{"eventName": "action.setUserPref", "name": "premShownWOWS", "value": false}
window.show	{"eventName": "window.show", "windowName": "Waiting"}
window.show	{"eventName": "window.show", "windowName": "ModalWindowBattleTypeChooser"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "uiPVEOperationsDifficulty", "value": "normal"}
window.show	{"eventName": "window.show", "windowName": "ModalWindowPVEOperationChooser"}
window.show	{"eventName": "window.show", "windowName": "ChatNotificationsPanel"}
action.setUserPref	{"eventName": "action.setUserPref", "name": "curRowCountIndex", "value": 2.0}
action.ContextGuidingTipClose	{"notification_id": "DockToUserMenu", "eventName": "action.ContextGuidingTipClose"}
action.ContextGuidingTipClose	{"notification_id": "DockToRandomFight", "eventName": "action.ContextGuidingTipClose"}
action.ContextGuidingTipClose	{"notification_id": "DockToModulesExplore", "eventName": "action.ContextGuidingTipClose"}
action.ContextGuidingTipClose	{"notification_id": "DockToTechTreeExploreShip", "eventName": "action.ContextGuidingTipClose"}
action.ContextGuidingTipClose	{"notification_id": "DockToCrew", "eventName": "action.ContextGuidingTipClose"}
window.show	{"eventName": "window.show", "windowName": "Dock"}
action.logStart	{"eventName": "action.logStart", "event": "wnd:port.main"}
action.IngameNewsProxy.getIngameNews	{"eventName": "action.IngameNewsProxy.getIngameNews"}
window.becomeTopInFlash	{"eventName": "window.becomeTopInFlash", "windowName": "ChatNotificationsPanel"}
action.selectedMessageChanged	{"selectedIndex": 0, "selectedEntityId": null, "eventName": "action.selectedMessageChanged"}
action.setUserPref	{"eventName": "action.setUserPref", "subName": "IM", "name": "IMPositionX", "value": 1296.0}
action.setUserPref	{"eventName": "action.setUserPref", "subName": "IM", "name": "IMPositionY", "value": 478.0}
action.selectedMessageChanged	{"selectedIndex": -1.0, "selectedEntityId": null, "eventName": "action.selectedMessageChanged"}
action.unlockBargeControls	{"eventName": "action.unlockBargeControls"}
window.hide	{"eventName": "window.hide", "windowName": "Waiting"}
window.becomeTopInFlash	{"eventName": "window.becomeTopInFlash", "windowName": "ChatNotificationsPanel"}
action.onBattleButtonClick	{"eventName": "action.onBattleButtonClick"}
action.clearCommandsState	{"eventName": "action.clearCommandsState"}
action.setDockGoToBattle	{"eventName": "action.setDockGoToBattle"}
window.lostTop	{"eventName": "window.lostTop", "windowName": "ChatNotificationsPanel"}
window.show	{"eventName": "window.show", "windowName": "Waiting"}
window.becomeTopInFlash	{"eventName": "window.becomeTopInFlash", "windowName": "Waiting"}
dockState.balancer	{"queueType": 2, "scenario": null, "denyReason": 4, "playerShipId": 3760109008, "mapId": null, "maxWaitMin": 0.0, "eventName": "dockState.balancer", "queueTypeIdent": "cooperative", "onlyFullBattles": false, "maxWaitSec": 30.0, "useBots": false, "arcSideId": -1, "rankedBattleStatus": 0}
action.clearInset	{"queueType": 2, "scenario": null, "denyReason": 4, "playerShipId": 3760109008, "mapId": null, "maxWaitMin": 0.0, "eventName": "action.clearInset", "queueTypeIdent": "cooperative", "onlyFullBattles": false, "maxWaitSec": 30.0, "useBots": false, "arcSideId": -1, "rankedBattleStatus": 0}
